af3_id	seq_len
a0a023pyf4	145
a0a023pzb3	126
a0a023pze8	133
a0a023pzf2	135
a0a023pzg4	107
a0a0b7p221	28
a0a0b7p3v8	1104
a0a7m4b2u1	118
a2p2r3	262
a5z2x5	72
d6vpm8	179
d6vtk4	431
d6w196	494
i2hb52	66
i2hb70	103
o13297	549
o13329	566
o13511	128
o13512	126
o13516	197
o13525	335
o13527	1196
o13529	151
o13535	1793
o13536	103
o13539	261
o13544	120
o13547	238
o13549	108
o13555	125
